bugID,ID,LineID,isBugCovering,type,faulty_lines,all_Lines,question,LOC_inspection,LOC_original,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
HIT01_8,0,272,FALSE,variable,,273;276;277;284," Is there any issue with the definition or/and the use of variable ""hoursOffset"" in the source code below that might be related to the failure?",4,5,NO,NO,NO,NO,NO,NO,NO,NO,IDK,IDK,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,
HIT01_8,1,279,TRUE,variable,279,273;279;280;286;288;290," Is there any issue with the definition or/and the use of variable ""minutesOffset"" in the source code below that might be related to the failure?",6,7,YES,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,
HIT01_8,2,273,FALSE,conditional,,273;274, Is there any issue with the conditional clause between lines 273 and 275 that might be related to the failure?,2,2,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,
HIT01_8,3,276,FALSE,conditional,,276;277, Is there any issue with the conditional clause between lines 276 and 278 that might be related to the failure?,2,2,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,IDK,NO,NO,NO,NO,YES,NO,NO,NO,NO,
HIT01_8,4,279,TRUE,conditional,279,279;280, Is there any issue with the conditional clause between lines 279 and 281 that might be related to the failure?,2,2,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO,IDK,YES,YES,YES,YES,YES,YES,YES,YES,NO,
HIT01_8,5,282,FALSE,variable,,282;290;294," Is there any issue with the definition or/and the use of variable ""offset"" in the source code below that might be related to the failure?",3,3,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,YES,
HIT01_8,6,284,FALSE,variable,,284;285;286;288," Is there any issue with the definition or/and the use of variable ""hoursInMinutes"" in the source code below that might be related to the failure?",4,4,NO,YES,YES,NO,NO,NO,YES,NO,YES,NO,NO,YES,IDK,YES,YES,NO,NO,NO,NO,NO,
HIT01_8,7,285,FALSE,conditional,,285;286;288, Is there any issue with the conditional clause between lines 285 and 289 that might be related to the failure?,3,4,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,
HIT01_8,8,290,FALSE,method invocation,,290," Is there any issue with the  method invocation(s) ""safeMultiply""  at line  290 that might be related to the failure?",1,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,
HIT01_8,9,294,FALSE,method invocation,,294," Is there any issue with the  method invocation(s) ""forOffsetMillis""  at line  294 that might be related to the failure?",1,1,IDK,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,IDK,NO,
HIT02_24,10,114,TRUE,variable,117,115;117," Is there any issue with the definition or/and the use of variable ""value"" in the source code below that might be related to the failure?",2,2,IDK,YES,NO,YES,YES,NO,YES,YES,IDK,NO,NO,NO,YES,NO,YES,YES,NO,YES,IDK,NO,
